tedarikci;urun_adi;url;fiyat;gorsel_dosyalari
mexxsun;tam-sinus-ups-remote-ekran-12v-1000w;https://www.mexxsun.com/tr/urun/tam-sinus-ups-remote-ekran-12v-1000w;47,10;public/images/products/mexxsun/tam-sinus-ups-remote-ekran-12v-1000w.jpg|public/images/products/mexxsun/tam-sinus-ups-remote-ekran-12v-1000w-2.jpg|public/images/products/mexxsun/tam-sinus-ups-remote-ekran-12v-1000w-3.jpg|public/images/products/mexxsun/tam-sinus-ups-remote-ekran-12v-1000w-4.jpg|public/images/products/mexxsun/tam-sinus-ups-remote-ekran-12v-1000w-5.jpg|public/images/products/mexxsun/tam-sinus-ups-remote-ekran-12v-1000w-6.jpg
mexxsun;tam-sinus-ups-remote-ekran-12v-2000w;https://www.mexxsun.com/tr/urun/tam-sinus-ups-remote-ekran-12v-2000w;47,10;public/images/products/mexxsun/tam-sinus-ups-remote-ekran-12v-2000w.jpg|public/images/products/mexxsun/tam-sinus-ups-remote-ekran-12v-2000w-2.jpg|public/images/products/mexxsun/tam-sinus-ups-remote-ekran-12v-2000w-3.jpg|public/images/products/mexxsun/tam-sinus-ups-remote-ekran-12v-2000w-4.jpg|public/images/products/mexxsun/tam-sinus-ups-remote-ekran-12v-2000w-5.jpg|public/images/products/mexxsun/tam-sinus-ups-remote-ekran-12v-2000w-6.jpg
mexxsun;tam-sinus-ups-remote-ekran-12v-3000w;https://www.mexxsun.com/tr/urun/tam-sinus-ups-remote-ekran-12v-3000w;47,10;public/images/products/mexxsun/tam-sinus-ups-remote-ekran-12v-3000w.jpg|public/images/products/mexxsun/tam-sinus-ups-remote-ekran-12v-3000w-2.jpg|public/images/products/mexxsun/tam-sinus-ups-remote-ekran-12v-3000w-3.jpg|public/images/products/mexxsun/tam-sinus-ups-remote-ekran-12v-3000w-4.jpg|public/images/products/mexxsun/tam-sinus-ups-remote-ekran-12v-3000w-5.jpg|public/images/products/mexxsun/tam-sinus-ups-remote-ekran-12v-3000w-6.jpg
mexxsun;mexx-p4kw-premium-24v-4kw;https://www.mexxsun.com/tr/urun/mexx-p4kw-premium-24v-4kw;47,10;public/images/products/mexxsun/mexx-p4kw-premium-24v-4kw.jpg|public/images/products/mexxsun/mexx-p4kw-premium-24v-4kw-2.jpg|public/images/products/mexxsun/mexx-p4kw-premium-24v-4kw-3.jpg|public/images/products/mexxsun/mexx-p4kw-premium-24v-4kw-4.jpg|public/images/products/mexxsun/mexx-p4kw-premium-24v-4kw-5.jpg|public/images/products/mexxsun/mexx-p4kw-premium-24v-4kw-6.jpg
mexxsun;mexx-p6kw-premium-48v-6kw;https://www.mexxsun.com/tr/urun/mexx-p6kw-premium-48v-6kw;47,10;public/images/products/mexxsun/mexx-p6kw-premium-48v-6kw.jpg|public/images/products/mexxsun/mexx-p6kw-premium-48v-6kw-2.jpg|public/images/products/mexxsun/mexx-p6kw-premium-48v-6kw-3.jpg|public/images/products/mexxsun/mexx-p6kw-premium-48v-6kw-4.jpg|public/images/products/mexxsun/mexx-p6kw-premium-48v-6kw-5.jpg|public/images/products/mexxsun/mexx-p6kw-premium-48v-6kw-6.jpg
mexxsun;mexx-p12kw-premium-48v-12kw-paralel-wi-fi-dual-output;https://www.mexxsun.com/tr/urun/mexx-p12kw-premium-48v-12kw-paralel-wi-fi-dual-output;47,10;public/images/products/mexxsun/mexx-p12kw-premium-48v-12kw-paralel-wi-fi-dual-output.jpg|public/images/products/mexxsun/mexx-p12kw-premium-48v-12kw-paralel-wi-fi-dual-output-2.jpg|public/images/products/mexxsun/mexx-p12kw-premium-48v-12kw-paralel-wi-fi-dual-output-3.jpg|public/images/products/mexxsun/mexx-p12kw-premium-48v-12kw-paralel-wi-fi-dual-output-4.jpg|public/images/products/mexxsun/mexx-p12kw-premium-48v-12kw-paralel-wi-fi-dual-output-5.jpg|public/images/products/mexxsun/mexx-p12kw-premium-48v-12kw-paralel-wi-fi-dual-output-6.jpg
mexxsun;deye-6kw-tam-sinus-akilli-off-grid-48v-ip651;https://www.mexxsun.com/tr/urun/deye-6kw-tam-sinus-akilli-off-grid-48v-ip651;47,10;public/images/products/mexxsun/deye-6kw-tam-sinus-akilli-off-grid-48v-ip651.jpg|public/images/products/mexxsun/deye-6kw-tam-sinus-akilli-off-grid-48v-ip651-2.jpg|public/images/products/mexxsun/deye-6kw-tam-sinus-akilli-off-grid-48v-ip651-3.jpg|public/images/products/mexxsun/deye-6kw-tam-sinus-akilli-off-grid-48v-ip651-4.jpg|public/images/products/mexxsun/deye-6kw-tam-sinus-akilli-off-grid-48v-ip651-5.jpg
mexxsun;sunon-e-tam-sinus-akilli-24v-2-4kw-450-500vdc;https://www.mexxsun.com/tr/urun/sunon-e-tam-sinus-akilli-24v-2-4kw-450-500vdc;47,10;public/images/products/mexxsun/sunon-e-tam-sinus-akilli-24v-2-4kw-450-500vdc.jpg|public/images/products/mexxsun/sunon-e-tam-sinus-akilli-24v-2-4kw-450-500vdc-2.jpg|public/images/products/mexxsun/sunon-e-tam-sinus-akilli-24v-2-4kw-450-500vdc-3.jpg|public/images/products/mexxsun/sunon-e-tam-sinus-akilli-24v-2-4kw-450-500vdc-4.jpg|public/images/products/mexxsun/sunon-e-tam-sinus-akilli-24v-2-4kw-450-500vdc-5.jpg|public/images/products/mexxsun/sunon-e-tam-sinus-akilli-24v-2-4kw-450-500vdc-6.jpg
mexxsun;sunon-eco-4-2kw-tam-sinus-akilli-24v-4200w-2003;https://www.mexxsun.com/tr/urun/sunon-eco-4-2kw-tam-sinus-akilli-24v-4200w-2003;47,10;public/images/products/mexxsun/sunon-eco-4-2kw-tam-sinus-akilli-24v-4200w-2003.jpg|public/images/products/mexxsun/sunon-eco-4-2kw-tam-sinus-akilli-24v-4200w-2003-2.jpg|public/images/products/mexxsun/sunon-eco-4-2kw-tam-sinus-akilli-24v-4200w-2003-3.jpg|public/images/products/mexxsun/sunon-eco-4-2kw-tam-sinus-akilli-24v-4200w-2003-4.jpg|public/images/products/mexxsun/sunon-eco-4-2kw-tam-sinus-akilli-24v-4200w-2003-5.jpg|public/images/products/mexxsun/sunon-eco-4-2kw-tam-sinus-akilli-24v-4200w-2003-6.jpg
mexxsun;sunon-iv-8kw-48v-450vdc;https://www.mexxsun.com/tr/urun/sunon-iv-8kw-48v-450vdc;47,10;public/images/products/mexxsun/sunon-iv-8kw-48v-450vdc.jpg|public/images/products/mexxsun/sunon-iv-8kw-48v-450vdc-2.jpg|public/images/products/mexxsun/sunon-iv-8kw-48v-450vdc-3.jpg|public/images/products/mexxsun/sunon-iv-8kw-48v-450vdc-4.jpg|public/images/products/mexxsun/sunon-iv-8kw-48v-450vdc-5.jpg|public/images/products/mexxsun/sunon-iv-8kw-48v-450vdc-6.jpg
